title                                             ,artist                   ,track ,year  ,band           ,discs ,sourceurl                                   ,disc ,album                         ,originalartist   ,comment                                                                      ,tracks ,originallyricist ,discsubtitle                                    ,composer                      ,lyricist                     ,genres
Find the Music in You (Montage)                   ,The Pony Tones           ,    15,  2014,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Find the Music in You (Warm up)                   ,The Pony Tones           ,    14,  2014,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Find the Music in You                             ,The Pony Tones           ,    16,  2014,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Flim Flam Miracle Curative Tonic                  ,Flim Flam Brothers       ,    17,  2014,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,Daniel Ingram                 ,Josh Haber                   ,Soundtrack
Generosity (Reprise)                              ,Rarity                   ,    04,  2014,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,Daniel Ingram                 ,Dave Polsky                  ,Soundtrack
Generosity                                        ,Rarity                   ,    03,  2014,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,Daniel Ingram                 ,Dave Polsky                  ,Soundtrack
Glass of Water                                    ,Discord                  ,    06,  2014,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,Daniel Ingram                 ,Ed Valentine                 ,Soundtrack
Hearts Strong as Horses                           ,Cutie Mark Crusaders     ,    01,  2013,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,Daniel Ingram                 ,Ed Valentine                 ,Soundtrack
Let the Rainbow Remind You                        ,Twilight Sparkle         ,    20,  2014,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Make a Wish                                       ,Pinkie Pie               ,    12,  2014,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Music in the Treetops                             ,Fluttershy               ,    13,  2014,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Pinkie the Party Planner                          ,Pinkie Pie               ,    07,  2014,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,Daniel Ingram                 ,Amy Keating Rogers           ,Soundtrack
Pinkie's Lament                                   ,Pinkie Pie               ,    09,  2014,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Super Duper Party Pony                            ,Cheese Sandwich          ,    08,  2014,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,Daniel Ingram                 ,Amy Keating Rogers           ,Soundtrack
